track_title,artist_title,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,time_signature,valence,metric,billboard_hit
tko,justin timberlake,t,424146,0.00701,0.611,0.6779999999999999,0.00000843,3.0,0.431,-6.723,0.0,0.243,137.864,4.0,0.493,0.32698502553827623221,1.0
tko,justin timberlake,t,424146,0.00701,0.611,0.6779999999999999,0.00000843,3.0,0.431,-6.723,0.0,0.243,137.864,4.0,0.493,0.32698502553827623221,1.0
like my mother does,lauren alaina,f,247813,0.33,0.42,0.746,0.0,6.0,0.098,-1.922,1.0,0.0319,139.839,4.0,0.29,0.06666666666666666667,1.0
black cat,janet jackson,f,290573,0.131,0.7090000000000001,0.912,0.0014199999999999998,4.0,0.213,-7.157,0.0,0.0439,114.964,4.0,0.653,2.70169835056433235644,1.0
black cat,janet jackson,f,287933,0.00344,0.654,0.9159999999999999,0.00806,11.0,0.0854,-3.105,0.0,0.0564,114.665,4.0,0.89,2.70169835056433235644,1.0
when i fall in love,natalie cole,f,307666,,,,,,,,,,,,,0.01052631578947368421,1.0
when i fall in love,natalie cole,f,249680,0.903,0.272,0.221,0.000103,6.0,0.11699999999999999,-13.722000000000001,1.0,0.0302,83.931,1.0,0.129,0.01052631578947368421,1.0
just a friend,biz markie,f,238266,,,,,,,,,,,,,0.78106804048493822729,0.0
why must we wait until tonight,tina turner,f,355160,0.39899999999999997,0.7340000000000001,0.55,0.0009130000000000001,8.0,0.342,-12.690999999999999,1.0,0.032,89.75,4.0,0.672,0.02030927835051546392,1.0
talking body,tove lo,f,238493,0.0708,0.727,0.775,0.0,4.0,0.0928,-4.666,0.0,0.033,119.995,4.0,0.113,1.24419470257934642481,1.0
talking body,tove lo,t,238426,0.0966,0.736,0.7609999999999999,0.0,4.0,0.0823,-5.449,0.0,0.0338,119.999,4.0,0.114,1.24419470257934642481,1.0
talking body,tove lo,f,238493,0.0708,0.727,0.775,0.0,4.0,0.0928,-4.666,0.0,0.033,119.995,4.0,0.113,1.24419470257934642481,1.0
talking body,tove lo,t,238426,0.0966,0.736,0.7609999999999999,0.0,4.0,0.0823,-5.449,0.0,0.0338,119.999,4.0,0.114,1.24419470257934642481,1.0
talking body,tove lo,t,238426,0.0966,0.736,0.7609999999999999,0.0,4.0,0.0823,-5.449,0.0,0.0338,119.999,4.0,0.114,1.24419470257934642481,1.0
georgia rain,trisha yearwood,f,311360,0.61,0.528,0.456,0.00004620000000000001,10.0,0.19,-5.617999999999999,1.0,0.0241,99.09200000000001,4.0,0.16399999999999998,0.10067022257351463386,1.0
please remember me,tim mcgraw,f,296333,0.177,0.465,0.54,0.00000282,1.0,0.106,-7.097,1.0,0.0277,75.88,4.0,0.23399999999999999,0.98048403715916799177,1.0
hillbilly shoes,montgomery gentry,f,192693,0.0332,0.655,0.8370000000000001,0.00223,7.0,0.111,-6.072,1.0,0.0355,115.93799999999999,4.0,0.708,0.15504079383566868998,1.0
20/20,george benson,f,247440,0.27399999999999997,0.723,0.6859999999999999,0.000028800000000000002,6.0,0.0616,-11.435,0.0,0.0368,110.322,4.0,0.879,0.14202088802908328891,1.0
l$d,a$ap rocky,f,238520,0.209,0.56,0.249,0.207,2.0,0.0993,-15.077,1.0,0.0832,120.125,4.0,0.0375,0.03823787579547948211,1.0
l$d,a$ap rocky,t,238306,0.193,0.598,0.252,0.138,2.0,0.0992,-15.085999999999999,1.0,0.0647,120.06,4.0,0.0352,0.03823787579547948211,1.0
nothin' but a good time,poison,f,223406,0.0434,0.46799999999999997,0.9690000000000001,0.0,1.0,0.32899999999999996,-3.4,1.0,0.109,129.171,4.0,0.504,0.91238429753928958093,1.0
xo tour llif3,lil uzi vert,f,182728,0.00466,0.722,0.614,0.0,11.0,0.106,-7.548999999999999,0.0,0.115,154.903,4.0,0.485,2.26974949329657063423,1.0
xo tour llif3,lil uzi vert,t,182706,0.00264,0.732,0.75,0.0,11.0,0.109,-6.3660000000000005,0.0,0.231,155.096,4.0,0.401,2.26974949329657063423,1.0
xo tour llif3,lil uzi vert,f,182728,0.00466,0.722,0.614,0.0,11.0,0.106,-7.548999999999999,0.0,0.115,154.903,4.0,0.485,2.26974949329657063423,1.0
xo tour llif3,lil uzi vert,t,182706,0.00264,0.732,0.75,0.0,11.0,0.109,-6.3660000000000005,0.0,0.231,155.096,4.0,0.401,2.26974949329657063423,1.0
amor eterno,cristian castro,f,194440,0.0165,0.557,0.8,0.00000339,0.0,0.0917,-4.375,1.0,0.0244,104.955,4.0,0.44,0.01282051282051282051,1.0
shake up christmas,train,f,232213,0.0031,0.45799999999999996,0.831,0.0,0.0,0.337,-2.187,1.0,0.0654,81.531,4.0,0.5720000000000001,0.01010101010101010101,0.0
shake up christmas,train,f,247733,0.19699999999999998,0.513,0.76,0.0,5.0,0.192,-5.3420000000000005,1.0,0.0553,167.813,4.0,0.818,0.01010101010101010101,1.0
bang and blame,r.e.m.,f,330933,0.14,0.69,0.607,0.45299999999999996,7.0,0.113,-9.793,1.0,0.0397,120.96700000000001,4.0,0.41,0.39269590978008397414,1.0
when we stand together,nickelback,f,190786,0.000102,0.446,0.9,0.0000189,10.0,0.0404,-3.5410000000000004,0.0,0.0489,187.96099999999998,4.0,0.88,0.26241149714906986191,1.0
when we stand together,nickelback,f,190786,0.000102,0.446,0.9,0.0000189,10.0,0.0404,-3.5410000000000004,0.0,0.0489,187.96099999999998,4.0,0.88,0.26241149714906986191,1.0
now and forever,richard marx,f,214826,0.6609999999999999,0.441,0.258,0.0,7.0,0.106,-11.227,1.0,0.0276,77.988,1.0,0.172,1.97818323872207615051,1.0
now and forever,richard marx,f,234533,0.915,0.418,0.19399999999999998,0.0,7.0,0.10800000000000001,-7.545,1.0,0.0315,140.7,3.0,0.26899999999999996,1.97818323872207615051,1.0
all over the road,easton corbin,f,163080,0.0513,0.496,0.84,0.0,5.0,0.0695,-3.5660000000000003,1.0,0.0389,199.783,4.0,0.7070000000000001,0.31235612268067422395,1.0
all over the road,easton corbin,f,163066,0.0471,0.491,0.841,0.0,5.0,0.0886,-3.5789999999999997,1.0,0.0421,199.851,4.0,0.721,0.31235612268067422395,1.0
